timestamp,value,frequency_label,male_action_label
0,57,G,W
10,0,D,W
20,33,B,F
30,32,B,F
40,24,B,F
50,45,G,W
60,20,AB,L
70,5,T,
80,53,G,W
90,39,G,W
100,46,G,W
110,35,G,W
120,25,B,F
130,36,G,W
140,10,TA,
150,3,D,W
160,51,G,W
170,51,G,W
180,49,G,W
190,30,B,F
200,38,G,W
210,6,TA,L
220,30,B,F
230,13,AB,L
240,39,G,W
250,5,T,
260,0,D,W
270,33,B,F
280,36,G,W
290,45,G,W
300,21,B,F
310,43,G,W
320,45,G,W
330,24,B,F
340,6,TA,L
350,54,G,W
360,53,G,W
370,30,B,F
380,0,D,W
390,45,G,W
400,57,G,W
410,32,B,F
420,32,B,F
430,7,TA,L
440,22,B,F
450,47,G,W
460,36,G,W
470,32,B,F
480,19,AB,L
490,15,AB,L
500,0,D,W
510,52,G,W
520,17,AB,
530,58,G,W
540,5,T,
550,11,AB,L
560,0,D,W
570,9,TA,
580,46,G,W
590,13,AB,L
600,15,AB,L
610,50,G,W
620,21,B,F
630,45,G,W
640,50,G,W
650,31,B,F
660,54,G,W
670,57,G,W
680,32,B,F
690,24,B,F
700,9,TA,L
710,46,G,W
720,7,TA,L
730,30,B,F
740,14,AB,L
750,46,G,W
760,14,AB,
770,37,G,W
780,37,G,W
790,46,G,W
800,49,G,W
810,57,G,W
820,56,G,W
830,29,B,F
840,16,AB,L
850,47,G,W
860,51,G,W
870,41,G,W
880,29,B,F
890,28,B,F
900,60,G,W
910,6,TA,L
920,25,B,F
930,25,B,F
940,48,G,W
950,11,AB,
960,39,G,W
970,40,G,W
980,25,B,F
990,53,G,W
1000,5,T,
1010,0,D,W
1020,41,G,W
1030,54,G,W
1040,52,G,W
1050,0,D,W
1060,14,AB,L
1070,6,TA,L
1080,50,G,W
1090,13,AB,L
1100,29,B,F
1110,47,G,W
1120,60,G,W
1130,3,D,W
1140,35,G,W
1150,12,AB,L
1160,22,B,F
1170,26,B,F
1180,44,G,W
1190,42,G,W
1200,43,G,W
1210,12,AB,
1220,43,G,W
1230,34,G,W
1240,6,TA,L
1250,16,AB,L
1260,59,G,W
1270,59,G,W
1280,4,T,R
1290,26,B,F
1300,58,G,W
1310,51,G,W
1320,46,G,W
1330,10,TA,L
1340,30,B,F
1350,57,G,W
1360,4,T,
1370,13,AB,L
1380,17,AB,L
1390,15,AB,L
1400,36,G,W
1410,2,D,W
1420,52,G,W
1430,35,G,W
1440,15,AB,
1450,58,G,W
1460,58,G,W
1470,58,G,W
1480,5,T,
1490,15,AB,L
1500,55,G,W
1510,17,AB,L
1520,15,AB,L
1530,42,G,W
1540,17,AB,
1550,49,G,W
1560,5,T,
1570,40,G,W
1580,28,B,F
1590,46,G,W
1600,27,B,F
1610,41,G,W
1620,1,D,W
1630,27,B,F
1640,36,G,W
1650,21,B,F
1660,28,B,F
1670,60,G,W
1680,1,D,W
1690,23,B,F
1700,30,B,F
1710,44,G,W
1720,42,G,W
1730,49,G,W
1740,15,AB,
1750,56,G,W
1760,16,AB,L
1770,14,AB,L
1780,19,AB,L
1790,8,TA,L
1800,9,TA,L
1810,42,G,W
1820,19,AB,L
1830,11,AB,L
1840,40,G,W
1850,59,G,W
1860,21,B,F
1870,30,B,F
1880,41,G,W
1890,20,AB,
1900,53,G,W
1910,15,AB,L
1920,6,TA,L
1930,53,G,W
1940,17,AB,
1950,36,G,W
1960,10,TA,
1970,1,D,W
1980,47,G,W
1990,52,G,W
2000,0,D,W
2010,21,B,F
2020,24,B,F
2030,15,AB,L
2040,16,AB,L
2050,54,G,W
2060,35,G,W
2070,23,B,F
2080,59,G,W
2090,25,B,F
2100,52,G,W
2110,11,AB,
2120,59,G,W
2130,5,T,
2140,53,G,W
2150,10,TA,
2160,57,G,W
2170,42,G,W
2180,58,G,W
2190,32,B,F
2200,43,G,W
2210,40,G,W
2220,49,G,W
2230,37,G,W
2240,5,T,
2250,2,D,W
2260,39,G,W
2270,5,T,
2280,45,G,W
2290,7,TA,
2300,49,G,W
2310,16,AB,
2320,46,G,W
2330,60,G,W
2340,6,TA,
2350,58,G,W
2360,41,G,W
2370,19,AB,L
2380,13,AB,L
2390,10,TA,L
2400,1,D,W
2410,33,B,F
2420,21,B,F
2430,14,AB,L
2440,39,G,W
2450,3,D,W
2460,34,G,W
2470,54,G,W
2480,17,AB,
2490,36,G,W
2500,53,G,W
2510,55,G,W
2520,24,B,F
2530,30,B,F
2540,5,T,R
2550,18,AB,L
2560,1,D,W
2570,52,G,W
2580,13,AB,
2590,3,D,W
2600,0,D,W
2610,50,G,W
2620,52,G,W
2630,57,G,W
2640,29,B,F
2650,52,G,W
2660,48,G,W
2670,1,D,W
2680,58,G,W
2690,9,TA,
2700,2,D,W
2710,22,B,F
2720,5,T,R
2730,19,AB,L
2740,43,G,W
2750,29,B,F
2760,56,G,W
2770,18,AB,
2780,44,G,W
2790,7,TA,
2800,60,G,W
2810,18,AB,
2820,48,G,W
2830,57,G,W
2840,4,T,R
2850,24,B,F
2860,26,B,F
2870,20,AB,L
2880,34,G,W
2890,42,G,W
